"condition","response_1","response_2","response_3"
0.1,"Less than 350","More than 350","More than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"Less than 350","More than 350",NA
0.1,"Less than 350","More than 350","More than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,"Less than 350","Less than 350","Less than 350"
0.1,"Less than 350","Less than 350","Less than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,"Less than 350","Less than 350","More than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"More than 350","Less than 350","More than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,NA,NA,NA
0.1,"Less than 350","More than 350","More than 350"
0.1,"Less than 350","Less than 350","More than 350"
0.1,"Less than 350","Less than 350","Less than 350"
0.1,"More than 350","Less than 350",NA
0.1,"More than 350","More than 350","More than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,"Less than 350","Less than 350","Less than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"Less than 350","Less than 350","Less than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,"Less than 350",NA,"Less than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,"More than 350","Less than 350","More than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"Less than 350","More than 350","More than 350"
0.1,"More than 350","Less than 350","Less than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,NA,"Less than 350","Less than 350"
0.1,"More than 350","More than 350","More than 350"
0.1,"Less than 350","Less than 350","Less than 350"
0.1,"Less than 350","More than 350","Less than 350"
