"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.1,210.793662539322,407.101779299435,457.181329558708,459.736184535469,0.91,0.996,1000,3,"lognorm"
0.125,224.894675583713,407.101779299435,457.181329558708,459.736184535469,0.886,0.992,1000,3,"lognorm"
0.15,237.273158089203,407.101779299435,457.181329558708,459.736184535469,0.86,0.991,1000,3,"lognorm"
0.175,250.195196892611,407.101779299435,457.181329558708,459.736184535469,0.829,0.987,1000,3,"lognorm"
0.2,260.960865335129,407.101779299435,457.181329558708,459.736184535469,0.806,0.984,1000,3,"lognorm"
0.225,272.970919012509,407.101779299435,457.181329558708,459.736184535469,0.784,0.979,1000,3,"lognorm"
0.25,284.542549551196,407.101779299435,457.181329558708,459.736184535469,0.766,0.972,1000,3,"lognorm"
0.275,296.367830845532,407.101779299435,457.181329558708,459.736184535469,0.738,0.967,1000,3,"lognorm"
0.3,307.32723007319,407.101779299435,457.181329558708,459.736184535469,0.715,0.958,1000,3,"lognorm"
0.325,318.407173053239,407.101779299435,457.181329558708,459.736184535469,0.69,0.953,1000,3,"lognorm"
0.35,331.308184932062,407.101779299435,457.181329558708,459.736184535469,0.663,0.946,1000,3,"lognorm"
0.375,343.626754322754,407.101779299435,457.181329558708,459.736184535469,0.638,0.941,1000,3,"lognorm"
0.4,353.775201623635,407.101779299435,457.181329558708,459.736184535469,0.616,0.935,1000,3,"lognorm"
0.425,365.868294719616,407.101779299435,457.181329558708,459.736184535469,0.589,0.917,1000,3,"lognorm"
0.45,376.627347748832,407.101779299435,457.181329558708,459.736184535469,0.567,0.905,1000,3,"lognorm"
0.475,387.81139474412,407.101779299435,457.181329558708,459.736184535469,0.545,0.89,1000,3,"lognorm"
0.5,400.432289933286,407.101779299435,457.181329558708,459.736184535469,0.515,0.872,1000,3,"lognorm"
0.525,413.99790512508,407.101779299435,457.181329558708,459.736184535469,0.489,0.841,1000,3,"lognorm"
0.55,429.018098166205,407.101779299435,457.181329558708,459.736184535469,0.458,0.798,1000,3,"lognorm"
0.575,443.649283468963,407.101779299435,457.181329558708,459.736184535469,0.431,0.724,1000,3,"lognorm"
0.6,459.222698448087,407.101779299435,457.181329558708,459.736184535469,0.4,0.465,1000,3,"lognorm"
0.625,474.400022345752,407.101779299435,457.181329558708,459.736184535469,0.375,0.194,1000,3,"lognorm"
0.65,489.378066358017,407.101779299435,457.181329558708,459.736184535469,0.349,0.148,1000,3,"lognorm"
0.675,508.682812057445,407.101779299435,457.181329558708,459.736184535469,0.317,0.113,1000,3,"lognorm"
0.7,527.033752420504,407.101779299435,457.181329558708,459.736184535469,0.289,0.091,1000,3,"lognorm"
0.725,547.174283002247,407.101779299435,457.181329558708,459.736184535469,0.262,0.079,1000,3,"lognorm"
0.75,569.582401188563,407.101779299435,457.181329558708,459.736184535469,0.242,0.064,1000,3,"lognorm"
0.775,592.184453674335,407.101779299435,457.181329558708,459.736184535469,0.217,0.057,1000,3,"lognorm"
0.8,616.950875801816,407.101779299435,457.181329558708,459.736184535469,0.193,0.047,1000,3,"lognorm"
0.825,645.199565070856,407.101779299435,457.181329558708,459.736184535469,0.167,0.034,1000,3,"lognorm"
0.85,676.356277292071,407.101779299435,457.181329558708,459.736184535469,0.149,0.024,1000,3,"lognorm"
0.875,712.8604119639,407.101779299435,457.181329558708,459.736184535469,0.121,0.02,1000,3,"lognorm"
0.9,755.768920637871,407.101779299435,457.181329558708,459.736184535469,0.093,0.015,1000,3,"lognorm"
0.1,210.793662539322,424.027719081161,476.839700096899,481.43160587606,0.93,0.997,1000,3,"lognorm"
0.125,224.894675583713,424.027719081161,476.839700096899,481.43160587606,0.906,0.996,1000,3,"lognorm"
0.15,237.273158089203,424.027719081161,476.839700096899,481.43160587606,0.883,0.991,1000,3,"lognorm"
0.175,250.195196892611,424.027719081161,476.839700096899,481.43160587606,0.861,0.989,1000,3,"lognorm"
0.2,260.960865335129,424.027719081161,476.839700096899,481.43160587606,0.84,0.984,1000,3,"lognorm"
0.225,272.970919012509,424.027719081161,476.839700096899,481.43160587606,0.815,0.981,1000,3,"lognorm"
0.25,284.542549551196,424.027719081161,476.839700096899,481.43160587606,0.786,0.981,1000,3,"lognorm"
0.275,296.367830845532,424.027719081161,476.839700096899,481.43160587606,0.752,0.978,1000,3,"lognorm"
0.3,307.32723007319,424.027719081161,476.839700096899,481.43160587606,0.727,0.976,1000,3,"lognorm"
0.325,318.407173053239,424.027719081161,476.839700096899,481.43160587606,0.701,0.968,1000,3,"lognorm"
0.35,331.308184932062,424.027719081161,476.839700096899,481.43160587606,0.682,0.957,1000,3,"lognorm"
