"","initial_accuracy","final_accuracy","expected_accuracy","k","N"
"1",0,0.1,0,19,20
"2",0,0.1,0.05,19,20
"3",0.1,0.05,0.1,19,20
"4",0.1,0.05,0.15,19,20
"5",0,0.1,0.2,19,20
"6",0.3,0,0.25,19,20
"7",0.4,0.1,0.3,19,20
"8",0.4,0.05,0.35,19,20
"9",0.35,0.05,0.4,19,20
"10",0.65,0.95,0.45,19,20
"11",0.55,1,0.5,19,20
"12",0.5,1,0.55,19,20
"13",0.65,0.9,0.6,19,20
"14",0.45,0.2,0.65,19,20
"15",0.6,0.95,0.7,19,20
"16",0.85,0.95,0.75,19,20
"17",0.8,0.85,0.8,19,20
"18",0.85,0.95,0.85,19,20
"19",0.9,0.9,0.9,19,20
"20",0.9,0.95,0.95,19,20
"21",1,0.9,1,19,20
"22",0,0,0,19,20
"23",0,0.05,0.05,19,20
"24",0.05,0.15,0.1,19,20
"25",0.3,0.15,0.15,19,20
"26",0.3,0.05,0.2,19,20
"27",0.15,0.05,0.25,19,20
"28",0.15,0.05,0.3,19,20
"29",0.3,0.05,0.35,19,20
"30",0.45,0.05,0.4,19,20
"31",0.6,0.95,0.45,19,20
"32",0.55,0.8,0.5,19,20
"33",0.7,1,0.55,19,20
"34",0.7,0.85,0.6,19,20
"35",0.6,0.8,0.65,19,20
"36",0.7,0.85,0.7,19,20
"37",0.8,0.9,0.75,19,20
"38",0.8,0.85,0.8,19,20
"39",0.85,0.95,0.85,19,20
"40",0.95,1,0.9,19,20
"41",1,0.95,0.95,19,20
"42",1,1,1,19,20
"43",0,0.05,0,19,20
"44",0,0.05,0.05,19,20
"45",0.1,0.05,0.1,19,20
"46",0.15,0.15,0.15,19,20
"47",0.25,0.1,0.2,19,20
"48",0.2,0.2,0.25,19,20
"49",0.3,0.1,0.3,19,20
"50",0.1,0,0.35,19,20
"51",0.35,0.05,0.4,19,20
"52",0.5,0.85,0.45,19,20
"53",0.45,0.1,0.5,19,20
"54",0.4,0.2,0.55,19,20
"55",0.65,1,0.6,19,20
"56",0.7,0.8,0.65,19,20
"57",0.65,0.85,0.7,19,20
"58",0.7,0.9,0.75,19,20
"59",0.8,0.95,0.8,19,20
"60",0.85,1,0.85,19,20
"61",0.9,0.95,0.9,19,20
"62",1,1,0.95,19,20
"63",1,0.9,1,19,20
"64",0,0.1,0,19,20
"65",0.1,0.15,0.05,19,20
"66",0.05,0.15,0.1,19,20
"67",0.15,0.15,0.15,19,20
"68",0.15,0.05,0.2,19,20
"69",0.25,0.05,0.25,19,20
"70",0.25,0.1,0.3,19,20
"71",0.25,0.05,0.35,19,20
"72",0.55,0.85,0.4,19,20
"73",0.45,0.15,0.45,19,20
"74",0.5,0.1,0.5,19,20
"75",0.45,0.1,0.55,19,20
"76",0.65,1,0.6,19,20
"77",0.75,0.9,0.65,19,20
"78",0.75,0.9,0.7,19,20
"79",0.85,1,0.75,19,20
"80",0.75,0.9,0.8,19,20
"81",0.9,0.9,0.85,19,20
"82",0.75,0.95,0.9,19,20
"83",0.95,0.95,0.95,19,20
"84",1,0.95,1,19,20
"85",0,0.05,0,19,20
"86",0.05,0.05,0.05,19,20
"87",0.15,0,0.1,19,20
"88",0.15,0,0.15,19,20
"89",0.25,0.15,0.2,19,20
"90",0.15,0.05,0.25,19,20
"91",0.3,0.25,0.3,19,20
"92",0.3,0.15,0.35,19,20
"93",0.4,0.1,0.4,19,20
"94",0.6,0.75,0.45,19,20
"95",0.45,0.1,0.5,19,20
"96",0.5,0.5,0.55,19,20
"97",0.7,0.9,0.6,19,20
"98",0.7,0.95,0.65,19,20
"99",0.7,0.85,0.7,19,20
"100",0.65,0.9,0.75,19,20
"101",0.8,0.9,0.8,19,20
"102",0.85,0.95,0.85,19,20
"103",0.9,0.85,0.9,19,20
"104",0.95,0.95,0.95,19,20
"105",1,1,1,19,20
"106",0,0.05,0,19,20
"107",0.05,0,0.05,19,20
"108",0.1,0.05,0.1,19,20
"109",0.25,0.05,0.15,19,20
"110",0.1,0.05,0.2,19,20
"111",0.25,0.1,0.25,19,20
"112",0.5,0.45,0.3,19,20
"113",0.45,0.15,0.35,19,20
"114",0.35,0.1,0.4,19,20
"115",0.55,0.55,0.45,19,20
"116",0.65,0.85,0.5,19,20
"117",0.55,0.7,0.55,19,20
"118",0.55,0.6,0.6,19,20
"119",0.6,0.8,0.65,19,20
"120",0.55,0.95,0.7,19,20
"121",0.75,0.95,0.75,19,20
"122",0.85,1,0.8,19,20
"123",0.8,0.9,0.85,19,20
"124",0.95,0.9,0.9,19,20
"125",0.9,0.9,0.95,19,20
"126",1,1,1,19,20
"127",0,0.05,0,19,20
"128",0.2,0,0.05,19,20
"129",0.05,0.2,0.1,19,20
"130",0.15,0,0.15,19,20
"131",0.15,0.05,0.2,19,20
"132",0.3,0,0.25,19,20
"133",0.35,0.1,0.3,19,20
"134",0.4,0.1,0.35,19,20
"135",0.4,0.15,0.4,19,20
"136",0.5,0.5,0.45,19,20
"137",0.4,0.1,0.5,19,20
"138",0.55,0.8,0.55,19,20
"139",0.85,0.85,0.6,19,20
"140",0.5,0.45,0.65,19,20
"141",0.8,0.9,0.7,19,20
"142",0.8,0.95,0.75,19,20
"143",0.9,0.85,0.8,19,20
"144",0.9,0.85,0.85,19,20
"145",0.95,0.85,0.9,19,20
"146",0.95,0.9,0.95,19,20
"147",1,0.95,1,19,20
"148",0,0.1,0,19,20
"149",0,0.1,0.05,19,20
"150",0.05,0.1,0.1,19,20
"151",0.1,0.1,0.15,19,20
"152",0.1,0,0.2,19,20
"153",0.3,0.05,0.25,19,20
"154",0.2,0.05,0.3,19,20
"155",0.35,0.1,0.35,19,20
"156",0.55,0.95,0.4,19,20
"157",0.4,0.2,0.45,19,20
"158",0.4,0.1,0.5,19,20
"159",0.6,0.85,0.55,19,20
